N,P,K,temperature,humidity,ph,rainfall,soil,crop_label
70,36,42,21.84,80.73,6.95,202.38,clay,rice
29,36,25,28.29,88.44,7.13,48.57,loamy,yam
40,58,15,29.46,87.61,6.98,43.15,loamy,yam
71,35,24,22.27,59.52,5.83,67.97,sandy loam,maize
81,18,50,26.44,80.92,6.51,47.82,loamy clay ,pepper
85,27,45,26.07,88.73,6.47,57.8,loamy clay ,pepper
18,9,40,19.45,89.02,5.63,106.16,sandy loam,guinea_corn
22,72,85,18.87,15.66,6.39,88.51,loamy,soybean
89,60,17,25.38,57.21,5.98,101.7,sandy loam,maize
78,37,22,25.34,63.32,6.33,74.52,sandy loam,maize
71,52,18,25.11,55.98,5.79,78.16,sandy loam,maize
27,72,23,19.93,21.8,5.96,64.03,clay,beans
60,36,43,23.43,83.06,5.29,219.9,clay,rice
35,66,81,19.37,15.77,6.14,85.25,loamy,soybean
78,43,42,21.32,83.0,7.28,192.32,clay,rice
97,8,52,24.91,86.97,6.24,49.49,loamy clay ,pepper
21,39,20,28.14,82.12,7.06,46.76,loamy,yam
93,22,52,26.59,81.33,6.93,41.88,loamy clay ,pepper
4,23,5,22.68,93.36,7.48,110.33,loamy,orange
31,79,75,18.82,16.11,8.2,89.73,loamy,soybean
8,26,36,18.78,87.4,6.8,102.52,sandy loam,guinea_corn
52,60,79,19.45,18.23,8.38,75.63,loamy,soybean
23,65,20,23.04,22.43,5.83,108.37,clay,beans
37,18,39,24.15,94.51,6.42,110.23,sandy loam,guinea_corn
95,55,42,26.8,82.15,5.95,193.35,clay,rice
90,44,38,23.84,83.88,7.47,241.2,clay,rice
5,21,38,22.43,90.34,6.11,112.46,sandy loam,guinea_corn
24,53,17,28.95,89.08,6.42,57.66,loamy,yam
91,36,45,24.44,82.45,5.95,267.98,clay,rice
12,8,10,16.15,91.44,8.0,107.43,loamy,orange
29,75,75,19.62,18.71,7.06,88.46,loamy,soybean
14,22,9,17.25,91.14,6.54,112.51,loamy,orange
74,55,19,18.05,62.89,6.29,84.24,sandy loam,maize
36,38,15,28.36,87.6,6.32,58.0,loamy,yam
14,22,9,17.25,91.14,6.54,112.51,loamy,orange
27,79,82,17.07,17.54,6.31,70.87,loamy,soybean
99,39,18,19.2,68.31,6.11,87.85,sandy loam,maize
90,14,52,24.85,89.2,6.39,59.68,loamy clay ,pepper
3,26,39,24.38,91.19,7.08,103.6,sandy loam,guinea_corn
34,11,10,31.75,94.6,7.36,115.2,loamy,orange
90,23,54,28.56,90.46,6.16,27.27,sandy loam,tomatoes
38,14,37,21.81,94.64,6.66,102.65,sandy loam,guinea_corn
99,5,47,24.13,84.84,6.65,51.19,loamy clay ,pepper
42,74,83,19.26,14.28,7.55,65.78,loamy,soybean
9,77,17,20.12,24.45,5.78,106.16,clay,beans
83,10,53,24.93,85.01,6.2,48.76,loamy clay ,pepper
29,45,16,28.44,87.91,6.58,43.12,loamy,yam
108,22,46,26.18,86.73,6.12,53.33,loamy clay ,pepper
59,69,80,19.08,17.87,8.17,69.41,loamy,soybean
81,6,55,24.89,85.87,6.11,51.71,loamy clay ,pepper
40,64,16,16.43,24.24,5.93,140.37,clay,beans
6,13,9,34.51,90.56,7.79,118.33,loamy,orange
107,12,46,29.57,93.62,6.56,27.57,sandy loam,tomatoes
31,70,77,20.89,14.32,6.49,90.46,loamy,soybean
31,55,22,22.91,21.34,5.87,109.23,clay,beans
84,29,49,29.94,93.91,6.25,20.39,sandy loam,tomatoes
20,29,10,29.07,93.27,7.37,100.79,loamy,orange
5,45,21,28.36,88.01,6.49,43.05,loamy,yam
52,73,79,17.26,18.75,7.84,94.0,loamy,soybean
22,71,17,18.15,19.39,5.51,107.69,clay,beans
39,28,10,31.35,91.48,7.18,109.15,loamy,orange
8,45,18,27.93,85.42,7.01,43.25,loamy,yam
51,72,75,18.89,14.99,7.1,80.11,loamy,soybean
76,44,17,20.42,62.55,5.86,65.28,sandy loam,maize
107,22,54,28.0,90.85,6.63,21.62,sandy loam,tomatoes
93,53,38,26.93,81.91,7.07,290.68,clay,rice
5,13,37,22.34,89.79,5.65,103.32,sandy loam,guinea_corn
27,79,82,17.07,17.54,6.31,70.87,loamy,soybean
35,57,83,19.48,17.45,7.48,80.5,loamy,soybean
19,53,22,27.86,80.45,6.85,42.83,loamy,yam
107,5,52,26.66,89.98,6.88,57.41,loamy clay ,pepper
105,14,50,26.21,87.69,6.42,59.66,loamy clay ,pepper
4,14,41,19.85,89.81,6.43,102.82,sandy loam,guinea_corn
118,12,47,27.97,92.17,6.01,28.95,sandy loam,tomatoes
32,79,15,23.91,20.75,5.71,81.6,clay,beans
108,26,52,28.83,94.27,6.2,26.24,sandy loam,tomatoes
22,30,12,15.78,92.51,6.35,119.04,loamy,orange
27,69,22,17.92,24.91,5.93,69.15,clay,beans
40,9,41,24.38,85.4,5.78,106.13,sandy loam,guinea_corn
20,40,15,29.57,88.08,7.2,45.04,loamy,yam
109,10,53,26.82,87.83,6.55,46.06,loamy clay ,pepper
1,27,36,23.99,93.34,5.68,104.99,sandy loam,guinea_corn
12,78,23,16.07,18.72,6.0,88.07,clay,beans
28,80,17,19.62,18.67,5.81,144.16,clay,beans
98,26,52,27.34,90.7,6.15,28.69,sandy loam,tomatoes
89,11,47,29.79,94.65,6.33,27.87,sandy loam,tomatoes
4,20,41,24.27,93.8,6.54,104.54,sandy loam,guinea_corn
72,40,38,20.41,82.21,7.59,245.15,clay,rice
74,35,40,26.49,80.16,6.98,242.86,clay,rice
39,58,85,17.89,15.41,6.0,68.55,loamy,soybean
53,73,77,19.71,18.1,7.33,73.64,loamy,soybean
29,22,43,19.66,87.95,5.56,106.04,sandy loam,guinea_corn
37,74,15,24.92,18.23,5.58,62.71,clay,beans
35,64,15,28.47,63.54,6.5,69.53,sandy loam,cassava
9,80,19,21.81,18.57,5.95,125.1,clay,beans
32,73,81,20.45,15.4,5.99,92.68,loamy,soybean
60,55,44,23.0,82.32,7.84,263.96,clay,rice
25,68,77,20.09,15.11,7.7,85.75,loamy,soybean
1,27,36,23.99,93.34,5.68,104.99,sandy loam,guinea_corn
89,60,19,25.19,66.69,5.91,78.07,sandy loam,maize
12,78,23,16.07,18.72,6.0,88.07,clay,beans
93,41,17,25.62,66.5,6.05,105.47,sandy loam,maize
73,35,38,24.89,81.98,5.01,185.95,clay,rice
30,63,16,23.61,21.91,5.53,100.6,clay,beans
13,60,25,17.14,20.61,5.69,128.26,clay,beans
34,60,23,20.13,24.97,5.66,100.05,clay,beans
7,20,12,16.53,94.77,6.48,110.04,loamy,orange
106,21,52,28.9,94.79,6.29,23.04,sandy loam,tomatoes
108,23,51,26.84,83.85,6.11,40.23,loamy clay ,pepper
58,73,16,33.37,65.68,6.87,64.9,sandy loam,cassava
94,54,17,23.39,61.74,5.87,107.32,sandy loam,maize
30,70,79,20.27,19.97,7.31,69.64,loamy,soybean
25,68,77,20.09,15.11,7.7,85.75,loamy,soybean
78,40,38,26.46,83.86,7.55,248.23,clay,rice
21,80,20,28.21,68.27,7.35,64.33,sandy loam,cassava
72,60,25,18.53,69.03,5.77,88.1,sandy loam,maize
106,20,51,29.73,90.97,6.34,20.49,sandy loam,tomatoes
101,17,55,24.37,87.13,6.45,44.64,loamy clay ,pepper
42,67,77,18.99,15.94,6.11,78.71,loamy,soybean
59,63,18,31.66,60.13,6.53,66.69,sandy loam,cassava
81,18,50,26.81,88.23,6.43,58.8,loamy clay ,pepper
110,21,54,26.74,87.82,6.75,47.46,loamy clay ,pepper
37,79,19,27.54,69.35,7.14,69.41,sandy loam,cassava
53,74,15,29.43,64.94,7.52,72.18,sandy loam,cassava
37,70,25,19.73,24.89,5.82,84.06,clay,beans
17,77,23,24.51,20.82,5.67,64.19,clay,beans
34,60,23,20.13,24.97,5.66,100.05,clay,beans
118,18,52,28.05,90.83,6.56,20.76,sandy loam,tomatoes
93,22,48,29.13,91.52,6.78,21.9,sandy loam,tomatoes
13,60,25,17.14,20.61,5.69,128.26,clay,beans
33,15,7,15.83,91.68,7.65,109.76,loamy,orange
117,19,55,28.8,91.78,6.12,25.16,sandy loam,tomatoes
20,23,11,31.85,90.12,6.41,109.95,loamy,orange
101,17,55,24.37,87.13,6.45,44.64,loamy clay ,pepper
78,37,22,25.34,63.32,6.33,74.52,sandy loam,maize
22,60,85,18.84,14.74,6.81,94.78,loamy,soybean
34,35,21,28.45,82.68,6.68,58.19,loamy,yam
8,26,36,18.78,87.4,6.8,102.52,sandy loam,guinea_corn
89,54,38,24.52,83.54,6.69,230.45,clay,rice
44,58,18,28.04,65.07,6.81,72.5,sandy loam,cassava
7,20,12,16.53,94.77,6.48,110.04,loamy,orange
77,36,23,24.71,56.73,6.65,88.45,sandy loam,maize
21,78,19,27.16,66.76,6.92,69.85,sandy loam,cassava
21,29,12,22.3,92.16,6.44,117.37,loamy,orange
41,69,82,20.02,16.63,6.72,68.98,loamy,soybean
99,29,55,29.19,91.46,6.66,26.48,sandy loam,tomatoes
98,35,18,23.8,74.83,6.25,91.76,sandy loam,maize
85,58,41,21.77,80.32,7.04,226.66,clay,rice
0,49,18,29.68,87.94,6.99,41.82,loamy,yam
37,6,13,26.03,91.51,7.51,101.28,loamy,orange
95,52,36,26.23,83.84,5.54,286.51,clay,rice
13,5,8,23.85,90.11,7.47,103.92,loamy,orange
15,11,38,23.13,92.68,6.63,109.39,sandy loam,guinea_corn
57,56,78,17.34,18.76,6.86,67.95,loamy,soybean
67,43,39,26.04,84.97,6.0,186.75,clay,rice
117,25,53,29.12,92.13,6.41,24.52,sandy loam,tomatoes
31,53,16,28.74,85.82,6.45,48.55,loamy,yam
28,6,40,22.11,91.34,6.77,106.87,sandy loam,guinea_corn
120,8,46,29.56,90.71,6.73,28.37,sandy loam,tomatoes
63,58,22,18.25,55.28,6.2,63.72,sandy loam,maize
0,12,7,20.18,90.65,6.97,116.81,loamy,orange
83,57,19,25.73,70.75,6.88,98.74,sandy loam,maize
117,25,53,29.12,92.13,6.41,24.52,sandy loam,tomatoes
111,6,53,26.49,88.59,6.31,46.06,loamy clay ,pepper
85,58,41,21.77,80.32,7.04,226.66,clay,rice
36,11,13,17.34,93.05,7.19,112.72,loamy,orange
81,6,55,24.89,85.87,6.11,51.71,loamy clay ,pepper
55,77,22,31.43,62.99,7.76,64.78,sandy loam,cassava
72,60,25,18.53,69.03,5.77,88.1,sandy loam,maize
22,60,24,18.78,20.25,5.63,104.26,clay,beans
80,16,46,25.5,81.4,6.94,48.48,loamy clay ,pepper
120,24,47,26.99,89.41,6.26,58.55,loamy clay ,pepper
34,45,21,28.19,82.61,6.29,37.01,loamy,yam
33,15,7,15.83,91.68,7.65,109.76,loamy,orange
21,29,12,22.3,92.16,6.44,117.37,loamy,orange
83,9,45,25.85,89.13,6.05,46.85,loamy clay ,pepper
87,21,52,27.35,94.29,6.07,27.21,sandy loam,tomatoes
0,18,14,29.77,92.01,7.21,114.42,loamy,orange
54,77,85,17.14,17.07,7.83,83.75,loamy,soybean
4,13,6,15.63,94.26,7.56,101.47,loamy,orange
98,35,18,23.8,74.83,6.25,91.76,sandy loam,maize
80,16,46,25.5,81.4,6.94,48.48,loamy clay ,pepper
77,57,21,24.93,73.8,6.55,79.74,sandy loam,maize
80,43,16,23.56,71.59,6.66,66.72,sandy loam,maize
83,58,45,25.76,83.52,5.88,245.66,clay,rice
41,69,82,20.02,16.63,6.72,68.98,loamy,soybean
33,23,45,20.0,85.84,7.12,112.34,sandy loam,guinea_corn
114,27,48,27.82,93.04,6.53,26.32,sandy loam,tomatoes
49,72,15,31.56,67.84,7.14,74.87,sandy loam,cassava
27,62,77,18.2,14.71,6.58,70.18,loamy,soybean
120,20,45,25.67,88.7,6.11,54.23,loamy clay ,pepper
35,69,23,16.79,24.97,5.58,75.45,clay,beans
99,12,52,28.7,94.31,6.0,22.22,sandy loam,tomatoes
99,36,20,20.58,65.35,6.67,78.35,sandy loam,maize
14,19,14,17.68,94.36,6.7,108.06,loamy,orange
59,69,80,19.08,17.87,8.17,69.41,loamy,soybean
107,10,49,25.83,89.0,6.76,45.25,loamy clay ,pepper
60,43,44,21.02,82.95,7.42,298.4,clay,rice
31,53,16,28.74,85.82,6.45,48.55,loamy,yam
25,59,19,29.07,83.69,6.63,43.95,loamy,yam
80,18,51,28.05,91.82,6.71,20.77,sandy loam,tomatoes
11,60,23,27.34,88.5,7.03,51.1,loamy,yam
5,45,21,28.36,88.01,6.49,43.05,loamy,yam
76,51,18,26.17,71.96,6.25,79.85,sandy loam,maize
81,16,45,26.9,86.25,6.73,59.76,loamy clay ,pepper
21,51,15,29.36,89.19,6.68,48.3,loamy,yam
29,16,36,19.81,88.93,5.74,102.86,sandy loam,guinea_corn
118,21,51,24.43,86.34,6.68,48.58,loamy clay ,pepper
31,25,38,24.96,92.41,6.5,109.42,sandy loam,guinea_corn
27,62,77,18.2,14.71,6.58,70.18,loamy,soybean
120,7,47,24.25,83.04,6.65,54.77,loamy clay ,pepper
14,8,43,21.93,94.46,7.05,111.72,sandy loam,guinea_corn
87,6,45,29.83,90.79,6.4,22.84,sandy loam,tomatoes
37,18,39,24.15,94.51,6.42,110.23,sandy loam,guinea_corn
28,76,82,20.57,14.26,6.65,83.76,loamy,soybean
120,24,47,26.99,89.41,6.26,58.55,loamy clay ,pepper
84,29,49,29.94,93.91,6.25,20.39,sandy loam,tomatoes
12,6,8,30.85,92.87,6.39,107.41,loamy,orange
26,80,83,17.08,16.15,7.53,71.31,loamy,soybean
31,25,12,18.05,90.04,7.02,111.78,loamy,orange
37,6,13,26.03,91.51,7.51,101.28,loamy,orange
7,23,35,19.75,88.72,7.05,102.55,sandy loam,guinea_corn
8,54,20,28.33,80.77,7.03,38.8,loamy,yam
24,56,85,18.2,17.41,6.55,80.64,loamy,soybean
53,67,17,31.78,69.02,7.3,61.47,sandy loam,cassava
52,70,16,33.67,66.6,7.53,67.33,sandy loam,cassava
20,41,20,29.27,89.49,7.07,50.92,loamy,yam
84,18,46,27.09,93.42,6.78,25.32,sandy loam,tomatoes
114,8,50,24.75,88.31,6.58,57.96,loamy clay ,pepper
69,46,41,23.64,80.29,5.01,263.11,clay,rice
27,72,23,19.93,21.8,5.96,64.03,clay,beans
29,21,45,23.41,93.13,6.75,105.22,sandy loam,guinea_corn
40,18,43,19.39,86.79,5.77,109.91,sandy loam,guinea_corn
49,68,22,28.57,61.53,7.13,63.5,sandy loam,cassava
36,43,22,27.83,87.17,6.39,58.37,loamy,yam
27,79,82,17.07,17.54,6.31,70.87,loamy,soybean
57,68,81,17.17,17.3,8.08,72.79,loamy,soybean
80,43,16,23.56,71.59,6.66,66.72,sandy loam,maize
22,80,20,23.01,18.87,5.67,100.12,clay,beans
12,61,19,19.33,24.14,5.66,68.51,clay,beans
31,51,25,27.54,85.57,7.2,53.02,loamy,yam
31,37,21,27.24,86.4,6.71,37.31,loamy,yam
71,46,40,20.28,82.12,7.24,191.95,clay,rice
57,60,84,19.1,17.26,6.59,75.49,loamy,soybean
32,57,18,15.54,23.76,5.7,107.39,clay,beans
37,18,39,24.15,94.51,6.42,110.23,sandy loam,guinea_corn
32,60,83,19.69,19.44,8.83,91.76,loamy,soybean
102,11,45,29.03,93.13,6.36,24.16,sandy loam,tomatoes
92,44,16,18.88,65.77,6.08,94.76,sandy loam,maize
66,44,20,19.08,69.02,6.74,80.73,sandy loam,maize
23,62,19,16.52,20.46,5.61,98.78,clay,beans
29,77,75,17.5,15.48,7.78,72.94,loamy,soybean
50,55,16,28.81,65.34,7.58,62.26,sandy loam,cassava
20,7,45,18.91,89.24,6.08,112.48,sandy loam,guinea_corn
30,7,15,33.23,91.06,7.83,115.77,loamy,orange
6,37,17,28.09,80.35,6.76,38.14,loamy,yam
53,65,76,20.19,16.42,6.72,77.34,loamy,soybean
14,8,43,21.93,94.46,7.05,111.72,sandy loam,guinea_corn
19,17,39,24.72,85.56,6.73,111.28,sandy loam,guinea_corn
107,5,52,26.66,89.98,6.88,57.41,loamy clay ,pepper
37,72,18,18.88,24.54,5.72,105.41,clay,beans
14,59,15,21.35,22.91,5.78,146.45,clay,beans
24,21,42,20.82,87.23,7.0,109.44,sandy loam,guinea_corn
111,15,54,27.71,92.91,6.19,22.06,sandy loam,tomatoes
90,23,54,28.56,90.46,6.16,27.27,sandy loam,tomatoes
1,15,9,29.98,94.55,7.53,115.36,loamy,orange
27,60,17,26.42,63.65,7.03,64.42,sandy loam,cassava
19,35,24,27.11,83.64,6.88,49.12,loamy,yam
8,28,38,23.23,94.43,6.84,105.69,sandy loam,guinea_corn
18,12,8,12.59,91.82,6.21,119.39,loamy,orange
119,19,55,25.19,83.45,6.82,46.87,loamy clay ,pepper
30,75,81,19.42,16.81,6.41,68.52,loamy,soybean
91,24,55,26.27,83.09,6.26,46.77,loamy clay ,pepper
117,25,54,28.68,92.51,6.15,29.11,sandy loam,tomatoes
83,10,53,24.93,85.01,6.2,48.76,loamy clay ,pepper
52,68,78,17.49,16.96,6.9,86.05,loamy,soybean
21,51,15,29.36,89.19,6.68,48.3,loamy,yam
86,15,47,24.04,84.18,6.42,53.79,loamy clay ,pepper
107,22,54,28.0,90.85,6.63,21.62,sandy loam,tomatoes
99,55,35,21.72,80.24,6.5,277.96,clay,rice
37,74,15,24.92,18.23,5.58,62.71,clay,beans
23,62,85,18.97,19.52,8.49,80.71,loamy,soybean
17,59,17,18.42,23.43,5.69,132.98,clay,beans
24,80,22,16.71,19.18,5.64,96.77,clay,beans
114,8,50,24.75,88.31,6.58,57.96,loamy clay ,pepper
84,18,46,27.09,93.42,6.78,25.32,sandy loam,tomatoes
27,64,15,20.16,24.84,5.51,138.24,clay,beans
39,9,15,25.35,91.81,7.99,116.76,loamy,orange
49,69,82,18.32,15.36,6.26,81.79,loamy,soybean
86,55,21,21.54,59.64,6.8,109.75,sandy loam,maize
86,6,53,25.92,83.47,6.92,42.11,loamy clay ,pepper
0,25,14,19.34,91.98,6.36,116.45,loamy,orange
74,35,40,26.49,80.16,6.98,242.86,clay,rice
61,44,17,26.1,71.57,6.93,102.27,sandy loam,maize
93,41,17,25.62,66.5,6.05,105.47,sandy loam,maize
27,62,77,18.2,14.71,6.58,70.18,loamy,soybean
21,78,19,27.16,66.76,6.92,69.85,sandy loam,cassava
84,50,44,25.49,81.41,5.94,182.65,clay,rice
118,18,52,28.05,90.83,6.56,20.76,sandy loam,tomatoes
82,22,45,26.22,85.35,6.51,54.6,loamy clay ,pepper
24,44,17,29.86,80.03,6.67,50.66,loamy,yam
85,58,41,21.77,80.32,7.04,226.66,clay,rice
90,57,24,18.93,72.8,6.16,82.34,sandy loam,maize
84,7,51,26.82,87.66,6.4,55.74,loamy clay ,pepper
29,70,15,30.33,63.55,6.87,74.17,sandy loam,cassava
114,27,48,27.82,93.04,6.53,26.32,sandy loam,tomatoes
18,5,11,20.88,90.94,6.25,102.46,loamy,orange
32,68,19,24.63,18.18,5.51,149.74,clay,beans
89,22,52,24.9,86.11,6.22,53.15,loamy clay ,pepper
25,76,24,15.33,24.92,5.57,135.33,clay,beans
26,18,42,19.73,89.65,6.91,108.23,sandy loam,guinea_corn
53,73,77,19.71,18.1,7.33,73.64,loamy,soybean
31,26,9,11.7,93.26,7.57,103.2,loamy,orange
32,14,37,22.73,88.49,6.83,104.68,sandy loam,guinea_corn
72,60,25,18.53,69.03,5.77,88.1,sandy loam,maize
12,29,13,22.46,91.53,7.57,118.01,loamy,orange
8,16,6,12.23,90.26,7.11,108.42,loamy,orange
33,75,84,19.46,18.73,7.22,68.81,loamy,soybean
113,28,48,28.88,92.49,6.17,24.44,sandy loam,tomatoes
30,44,16,29.73,82.89,6.44,50.92,loamy,yam
39,28,10,31.35,91.48,7.18,109.15,loamy,orange
9,16,36,23.78,92.93,5.89,106.98,sandy loam,guinea_corn
95,52,36,26.23,83.84,5.54,286.51,clay,rice
29,67,21,29.79,63.39,6.62,63.02,sandy loam,cassava
88,35,40,23.58,83.59,5.85,291.3,clay,rice
0,55,22,22.99,20.58,5.92,143.86,clay,beans
93,47,37,21.53,82.14,6.5,295.92,clay,rice
34,80,19,31.49,63.06,6.52,71.48,sandy loam,cassava
81,16,45,26.9,86.25,6.73,59.76,loamy clay ,pepper
24,18,6,26.57,94.45,6.29,116.38,loamy,orange
0,5,36,24.35,90.89,6.15,105.53,sandy loam,guinea_corn
9,77,17,20.12,24.45,5.78,106.16,clay,beans
26,15,6,17.22,94.79,6.91,108.01,loamy,orange
18,74,15,24.9,22.28,5.71,146.47,clay,beans
15,11,38,23.13,92.68,6.63,109.39,sandy loam,guinea_corn
30,65,82,20.71,15.28,6.11,76.78,loamy,soybean
40,58,15,29.46,87.61,6.98,43.15,loamy,yam
11,72,20,19.52,24.93,5.95,113.33,clay,beans
13,22,5,19.67,90.5,7.76,100.17,loamy,orange
69,51,23,22.22,72.85,6.8,106.62,sandy loam,maize
83,10,53,24.93,85.01,6.2,48.76,loamy clay ,pepper
119,5,55,29.69,94.3,6.17,26.84,sandy loam,tomatoes
77,57,21,24.93,73.8,6.55,79.74,sandy loam,maize
12,63,17,18.36,19.38,5.72,138.41,clay,beans
98,8,51,26.18,86.52,6.26,49.43,loamy clay ,pepper
59,70,84,17.33,18.75,7.55,82.62,loamy,soybean
68,57,43,26.09,80.38,5.71,182.9,clay,rice
30,75,81,19.42,16.81,6.41,68.52,loamy,soybean
91,50,40,20.82,84.13,6.46,230.22,clay,rice
114,27,48,27.82,93.04,6.53,26.32,sandy loam,tomatoes
34,59,23,28.56,83.25,6.94,56.48,loamy,yam
34,10,14,34.05,92.06,6.73,116.8,loamy,orange
115,11,46,24.42,89.4,6.62,40.32,loamy clay ,pepper
102,28,54,25.16,80.28,6.86,55.5,loamy clay ,pepper
112,25,51,25.05,85.57,6.93,56.72,loamy clay ,pepper
59,60,84,19.03,18.67,7.69,94.71,loamy,soybean
8,28,37,23.88,86.21,6.08,108.31,sandy loam,guinea_corn
50,64,25,28.84,63.37,6.73,70.25,sandy loam,cassava
107,5,52,26.66,89.98,6.88,57.41,loamy clay ,pepper
113,6,52,27.76,90.36,6.74,25.22,sandy loam,tomatoes
4,59,25,27.69,81.94,6.23,54.62,loamy,yam
95,16,46,27.08,90.14,6.75,24.45,sandy loam,tomatoes
95,52,36,26.23,83.84,5.54,286.51,clay,rice
